Date,Revenue (USD),Topic,Feedback_Count,Avg_Sentiment
2023-04-01,40470000.0,General Feedback,1,-0.1027
2023-04-01,40470000.0,Optimization Feedback,29,0.044534482758620694
2023-04-01,40470000.0,Login Issues,4,0.07637500000000001
2023-04-01,40470000.0,Story/Dialogue,1,-0.2888
2023-04-01,40470000.0,Gacha Feedback,2,-0.6204000000000001
2023-05-01,146050000.0,Optimization Feedback,92,0.015923913043478222
2023-05-01,146050000.0,General Feedback,9,-0.21112222222222218
2023-05-01,146050000.0,Login Issues,111,-0.16990900900900904
2023-05-01,146050000.0,Story/Dialogue,31,-0.08361290322580645
2023-05-01,146050000.0,Gacha Feedback,27,0.0018296296296296255
2023-05-01,146050000.0,Power Creep,2,-0.5208
2023-06-01,98520000.0,Power Creep,1,0.8865
2023-06-01,98520000.0,Optimization Feedback,102,0.04483137254901961
2023-06-01,98520000.0,Gacha Feedback,14,-0.09070714285714286
2023-06-01,98520000.0,Story/Dialogue,7,0.04648571428571428
2023-06-01,98520000.0,Login Issues,68,-0.017367647058823522
2023-06-01,98520000.0,General Feedback,7,-0.19995714285714286
2023-07-01,70500000.0,Optimization Feedback,45,-0.0869688888888889
2023-07-01,70500000.0,Power Creep,2,0.70205
2023-07-01,70500000.0,Gacha Feedback,10,0.026739999999999996
2023-07-01,70500000.0,Story/Dialogue,7,0.22235714285714286
2023-07-01,70500000.0,General Feedback,3,-0.09866666666666667
2023-07-01,70500000.0,Login Issues,13,-0.03484615384615383
2023-08-01,86950000.0,Story/Dialogue,1,0.3919
2023-08-01,86950000.0,Login Issues,3,-0.2493
2023-08-01,86950000.0,Power Creep,1,0.5362
2023-08-01,86950000.0,Gacha Feedback,1,0.9682
2023-08-01,86950000.0,Optimization Feedback,16,0.04084999999999994
2023-09-01,73950000.0,Optimization Feedback,4,0.422075
2023-09-01,73950000.0,Power Creep,2,0.7884500000000001
2023-10-01,83630000.0,Power Creep,1,0.8555
2023-10-01,83630000.0,Gacha Feedback,1,0.3182
2023-10-01,83630000.0,Login Issues,1,-0.1779
2023-10-01,83630000.0,Optimization Feedback,6,0.3078166666666668
2023-11-01,32939999.999999996,Gacha Feedback,1,-0.7668
2023-11-01,32939999.999999996,Optimization Feedback,1,0.0
2023-11-01,32939999.999999996,Login Issues,1,0.2904
2023-12-01,53710000.0,Optimization Feedback,3,0.2862
2023-12-01,53710000.0,General Feedback,2,0.4845
2023-12-01,53710000.0,Gacha Feedback,1,-0.2171
2024-01-01,34460000.0,Gacha Feedback,1,0.8005
2024-01-01,34460000.0,Optimization Feedback,2,0.5559499999999999
2024-02-01,56040000.0,Optimization Feedback,22,0.21554545454545454
2024-02-01,56040000.0,Gacha Feedback,2,-0.1366
2024-02-01,56040000.0,General Feedback,1,0.872
2024-03-01,92470000.0,General Feedback,6,-0.049433333333333336
2024-03-01,92470000.0,Login Issues,2,-0.039050000000000015
2024-03-01,92470000.0,Optimization Feedback,26,0.1876423076923077
2024-03-01,92470000.0,Story/Dialogue,4,-0.035875000000000004
2024-03-01,92470000.0,Gacha Feedback,5,0.002039999999999989
2024-04-01,76070000.0,General Feedback,1,0.6249
2024-04-01,76070000.0,Optimization Feedback,4,0.38912500000000005
2024-05-01,61140000.0,Gacha Feedback,1,0.9871
2024-05-01,61140000.0,General Feedback,1,0.2023
2024-05-01,61140000.0,Optimization Feedback,2,0.3044
2024-05-01,61140000.0,Story/Dialogue,1,-0.9118
2024-06-01,62670000.0,Optimization Feedback,1,0.4215
2024-06-01,62670000.0,Power Creep,1,0.6486
2024-07-01,36280000.0,General Feedback,2,0.36345
2024-07-01,36280000.0,Login Issues,1,0.0
2024-07-01,36280000.0,Optimization Feedback,4,0.128
2024-07-01,36280000.0,Story/Dialogue,1,-0.296
2024-07-01,36280000.0,Gacha Feedback,3,0.5791
2024-07-01,36280000.0,Power Creep,1,-0.4404
2024-08-01,32780000.0,General Feedback,7,-0.1016
2024-08-01,32780000.0,Optimization Feedback,8,-0.257725
2024-08-01,32780000.0,Login Issues,2,0.2958
2024-08-01,32780000.0,Story/Dialogue,3,-0.07703333333333334
2024-08-01,32780000.0,Gacha Feedback,2,0.7415
2024-09-01,54690000.0,Power Creep,5,-0.59648
2024-09-01,54690000.0,Gacha Feedback,13,-0.1368076923076923
2024-09-01,54690000.0,General Feedback,13,-0.19917692307692308
2024-09-01,54690000.0,Login Issues,14,-0.15107857142857142
2024-09-01,54690000.0,Optimization Feedback,33,0.0769030303030303
2024-09-01,54690000.0,Story/Dialogue,9,-0.3668333333333333
2024-10-01,36590000.0,Gacha Feedback,8,-0.14992499999999997
2024-10-01,36590000.0,Power Creep,6,-0.3299166666666667
2024-10-01,36590000.0,Story/Dialogue,7,-0.3336142857142857
2024-10-01,36590000.0,Optimization Feedback,21,0.12097142857142858
2024-10-01,36590000.0,Login Issues,6,-0.1313
2024-10-01,36590000.0,General Feedback,10,-0.34925000000000006
2024-11-01,21080000.0,Power Creep,9,-0.25125555555555557
2024-11-01,21080000.0,Gacha Feedback,14,0.019657142857142852
2024-11-01,21080000.0,Login Issues,10,-0.26181
2024-11-01,21080000.0,General Feedback,6,-0.09555000000000001
2024-11-01,21080000.0,Story/Dialogue,11,0.04342727272727272
2024-11-01,21080000.0,Optimization Feedback,10,-0.10795999999999999
2024-12-01,45460000.0,General Feedback,10,-0.06891
2024-12-01,45460000.0,Optimization Feedback,18,0.25655000000000006
2024-12-01,45460000.0,Login Issues,5,-0.06234000000000002
2024-12-01,45460000.0,Story/Dialogue,16,0.01546875000000001
2024-12-01,45460000.0,Power Creep,11,0.07665454545454546
2024-12-01,45460000.0,Gacha Feedback,19,-0.30070526315789475
2025-01-01,45460000.0,Story/Dialogue,22,-0.13899545454545453
2025-01-01,45460000.0,Optimization Feedback,25,-0.19728800000000002
2025-01-01,45460000.0,General Feedback,27,-0.1968740740740741
2025-01-01,45460000.0,Login Issues,17,0.004335294117647061
2025-01-01,45460000.0,Power Creep,36,-0.13370555555555563
2025-01-01,45460000.0,Gacha Feedback,28,-0.07930714285714288
2025-02-01,36830000.0,Gacha Feedback,51,-0.116621568627451
2025-02-01,36830000.0,Power Creep,73,-0.24595342465753423
2025-02-01,36830000.0,Story/Dialogue,23,-0.21520434782608697
2025-02-01,36830000.0,Optimization Feedback,17,0.08528823529411765
2025-02-01,36830000.0,Login Issues,13,0.0025769230769230834
2025-02-01,36830000.0,General Feedback,18,-0.22295000000000004
2025-03-01,27290000.0,General Feedback,16,-0.13834375000000002
2025-03-01,27290000.0,Cyrene Feedback,1,-0.6607
2025-03-01,27290000.0,Power Creep,101,-0.14001782178217823
2025-03-01,27290000.0,Gacha Feedback,45,0.05634888888888888
2025-03-01,27290000.0,Login Issues,18,-0.0738611111111111
2025-03-01,27290000.0,Story/Dialogue,28,-0.14196071428571427
2025-03-01,27290000.0,Optimization Feedback,12,0.07704166666666667
2025-04-01,71130000.0,Story/Dialogue,15,-0.22331333333333334
2025-04-01,71130000.0,Optimization Feedback,10,-0.15274000000000001
2025-04-01,71130000.0,Power Creep,32,-0.12794375000000002
2025-04-01,71130000.0,Gacha Feedback,38,0.07895526315789475
2025-04-01,71130000.0,General Feedback,30,-0.09749999999999998
2025-04-01,71130000.0,Login Issues,7,-0.09004285714285713
2025-05-01,38570000.0,Login Issues,16,-0.22494999999999998
2025-05-01,38570000.0,Story/Dialogue,39,0.0422051282051282
