at,Year_Month_Date,content,score,compound
2025-10-14 00:54:01,2025-10-14,"I used to love the game, and played for two years - however after a six month hiatus, I was a bit shocked at how much harder it became to clear MAIN STORY QUEST CONTENT with my old units. Endgame with my old characters is impossible. I stopped caring about that - but for power creep to get bad enough to where my old characters were struggling to clear MAIN STORY CONTENT is unacceptable. I have to pull new units to keep up with clearing the main story, and not even endgame content. Scummy.",1,-0.714
2025-10-05 08:45:20,2025-10-05,"Game looks good visually, but is not worth your time in the end. This game focuses way too much on ""teams"" instead of individual characters. Meaning that if you like a specific character, but don't necessarily like the ""team"" that the developers intended that character to be played with, you'd be better off just not picking up that character at all, because their performance will likely be drastically reduced outside of that team. I won't even speak on the horrible monetization practices.",1,0.8249
2025-12-03 03:37:15,2025-12-03,"Played the game since launch. Uninstalled when Cyrene was released, though I disliked the game for a while before that. Power creep speed is ludicrous, character design has become lazy (many characters grant their buffsadvantages just by existing, no thought or gameplay required), even old sustain units are being crept by both increased enemy damage and increased enemy health pools to compensate for new sustains' offensive capabilities. Not to mention the story being needlessly verbose.",1,-0.9325
2025-05-12 22:48:25,2025-05-12,"I tried to give this game the benefit of the doubt.I actually did love it in the beginning and invested a lot of time into it. however, as each patch came out, I really did find the story tedious with all the yap. Oh god, it never ended. i started to just not play it as much cuz I got tired of how much they talked. Then the global passive came out. And that was the final nail in the coffin. not including that, the animations whenever they talk are so lazy. When I compare it to Wuwa.",1,0.4447
2025-01-24 23:34:25,2025-01-24,"After not playing for half a year, I logged in to start playing again. But when I got on, the game started me from the beginning, and my account had a different UID. I've tried to get my original account back, but even though I've submitted forms detailing the exact dates I got some of the characters, I keep getting replies that they can't prove it's my account. I wrote down the exact date I finished a few of the quests, and nothing. It's very frustrating to know I may not get my account back.",1,0.6996
2023-05-31 07:03:29,2023-05-31,"I as a Honkai Impact 3rd player. I suppose I was confused when I assumed this would be an action RPG, even if it was turn-based. NPC dialog generator, (click pain.) Cutscene simulator, (No skip.) Walking simulator,(teleport.) Scavenger hunt simulator, (get what?, find who?) Relationship simulator, (did the NPC send me a text?) Menu navigation simulator, (so many submenus.) Turn-based combat, (it's in there somewhere, it's automatic and you can repeat it.) It's pretty and it sounds good",2,0.4479
2025-01-20 12:53:51,2025-01-20,"Rating two because gacha wise this is one of the most soul crushing experiences I've had. A F2p nightmare. I want to cry. Cut scenes progressing through the game or while ""grinding"" for gems are un-skippable making it take an ungodly amount of time to save up for one multi(at least 4-5 hours if hyper focused), then the rates are so bad It makes all that feel for nothing. Edit: Came back to check on state of the game only got worse especially the power creeping 1...avoid if your not rich",1,-0.8978
2025-11-09 13:28:02,2025-11-09,"The game has interesting stories and characters, plenty of fun mini-games, and an innovative currency war system. However, all the good points are overshadowed by serious flaws that make the overall experience frustrating. The gameplay quickly becomes boring and repetitive, and it takes way too long to gather resources. The gacha system feels punishing, losing 5050 and even 7525 multiple times in a row really kills motivation. The powercreep is getting worse.",1,-0.8754
2025-10-18 22:17:02,2025-10-18,"Update: it's been a long time since my initial happy and satisfied review but at this point I genuinely cannot recommend this game. the ongoing narrative is underwhelming and bad, combat has been reduced to just having the newest strongest units in the game requiring zero strategy and content has been incredibly light. if you're looking for a good turn based RPG just look into Expedition or Trails please this is not worth your time. hoping the last story patch delivers but if not I'm dropping.",1,0.7258
2025-11-21 22:25:00,2025-11-21,"Irritating lack of effort on the game's part. Keeps saying ""Login error occurred. Please try again later. Error code 10011."" for 6 times already. Well, if this mobile game will reject me with my mobile data right now, then I'll put my future money on another mobile game instead, one that doesn't just reject login over a weakened internet.",1,-0.9186
